BedCt,AreaCd,Phone,PerDiem
0,508,9355050,22747
0,617,3258000,31388
0,617,3258000,27649
0,978,6306225,13146
0,978,6323420,14369
0,781,9355050,18196
0,508,7653002,31546
0,978,6870151,19671
0,978,6870151,22270
0,978,6870156,14728
0,978,6870151,28864
0,413,5365221,29982
0,413,5342500,19263
0,508,4222238,31735
0,508,7323200,31917
0,978,7323200,30810
0,978,7313200,20148
0,413,7840000,16257
0,617,4245365,30330
0,617,7325500,21858
0,617,7262000,18735
0,781,7445100,12579
0,781,7445796,17574
0,781,7448796,18458
0,781,7445100,2293
0,978,9223000,25913
0,781,7448330,32434
0,617,6388000,29313
0,978,9468094,22659
0,978,9468094,19398
0,978,6834000,26489
0,978,9468094,19098
0,978,3969250,17946
0,978,9376200,21091
0,978,9376378,19217
0,978,9223000,29426
0,781,9793015,19642
0,978,9376034,23314
0,978,9376201,24887
0,978,9376201,20959
0,978,9348339,27117
0,978,4581411,31043
0,978,4581411,2670
0,781,8268161,22061
0,617,4245365,27854
0,781,   ,27070
0,617,5962500,29412
0,978,9223000,21972
0,781,2225200,2616
0,508,4851121,22796
0,508,4865801,30285
0,617,3556000,20033
0,508,5737900,13938
0,617,5733006,31795
0,617,5733006,29742
0,617,5733000,25448
0,612,5733006,15045
0,617,5733006,12689
0,617,5733006,23175
0,781,   ,20848
0,978,7249300,14977
0,978,8552000,32723
0,800,3330338,15125
0,413,4472000,26245
0,617,6678000,13757
0,781,9793000,16838
0,413,7489176,16051
0,413,7489000,20960
0,413,5365111,26818
0,508,3831000,1712
0,508,6507000,27137
0,508,3831000,17919
0,508,3831000,14897
0,508,3831000,20237
0,508,3831000,12621
0,617,7262000,26827
0,617,7262000,13625
0,781,7262000,17335
0,617,7262000,19379
0,617,7262000,26943
0,617,7262000,12515
0,617,7262000,13830
0,617,7262000,17066
0,617,7262000,18470
0,617,7262000,26936
0,781,7262000,12771
0,781,4856060,16451
0,617,7262000,24222
0,617,7262000,20981
0,617,7262000,30871
0,617,7262000,26011
0,508,4222201,23652
0,508,4731190,27931
0,508,4883890,27664
0,508,4222200,29844
0,508,4731190,19650
0,508,8246911,28210
0,508,8287000,20914
0,508,8246911,17544
0,617,4923500,25886
0,617,4995700,13518
0,617,4995700,14256
0,781,4923500,2628
0,617,4995700,32230
0,617,4995700,29469
0,978,6323420,19645
0,617,7545001,15468
0,617,7385800,23856
0,617,7545001,29745
0,617,7545002,18747
0,617,2436000,32282
0,617,2436000,29597
0,617,2435244,14067
0,617,2436173,29359
0,617,2436173,27510
0,617,2436255,26375
0,617,2436255,20892
0,781,2433155,21221
0,413,5682811,3091
0,978,3544000,28954
0,978,3544000,12975
0,781,2792788,19590
0,508,4275000,1418
0,508,6680385,24847
0,978,3542600,26270
0,978,7411200,15036
0,781,7411215,26929
0,978,7411200,2229
0,781,3407811,19311
0,508,7711800,27821
0,781,3408000,30764
0,978,9376012,19143
0,978,4662191,12777
0,413,7720211,28473
0,508,7936611,20275
0,508,7711800,18625
0,978,3435000,28725
0,508,7936111,13760
0,781,5962500,26390
0,508,7936611,28179
0,978,4581411,29133
0,508,2950880,18343
0,508,7936611,31884
0,508,9417010,25236
0,508,9417004,26862
0,508,9417000,31536
0,508,9417004,20024
0,508,9417000,20976
0,508,9417004,25029
0,617,4145000,21348
0,617,6365000,22319
0,617,2697500,17372
0,617,6388000,14776
0,617,4145000,21059
0,781,3408171,24579
0,781,3408000,19134
0,781,6348171,14894
0,781,6248171,26514
0,781,3408171,16587
0,508,6797013,12999
0,508,6793131,30941
0,508,6793131,3063
0,508,6793131,14310
0,508,6797001,24458
0,508,6797013,24347
0,508,6797001,27410
0,508,6797001,22346
0,508,6797001,19045
0,508,6797001,23532
0,508,6793131,1301
0,508,6797001,21332
0,508,2950880,32740
0,508,9971515,30286
0,508,6797013,29468
0,508,6797013,2670
0,508,2950880,20386
0,508,6797001,23937
0,508,6797001,1809
0,617,2780710,15891
0,508,6745600,29810
0,508,8334001,27777
0,508,8334000,30542
0,978,4906518,25269
0,617,7206400,28488
0,978,0,23392
0,617,5737000,13425
0,617,7206400,20874
0,617,2781077,29290
0,781,0,22973
0,781,7206400,24515
0,508,8334001,15487
0,978,0,24698
0,508,8334001,18540
0,617,5737000,24049
0,978,0,23497
0,781,7206400,16140
0,508,5324240,17865
0,508,8834000,19761
0,781,5737155,3210
0,617,5737000,20865
0,978,0,22774
0,781,5737000,23977
0,781,0,17426
0,781,0,15765
0,508,2281200,29745
0,978,9223000,22110
0,508,6745600,25279
0,508,6745600,23155
0,508,6745600,20361
0,508,6745600,17438
0,508,6745600,24948
0,508,6742000,3081
0,508,3635166,25640
0,508,3635166,16675
0,508,3635166,14383
0,508,3635053,27791
0,508,3636211,18354
0,508,3635166,22625
0,508,3636211,29257
0,617,7262000,14841
0,978,9371400,14994
0,617,4245365,22929
0,508,7936611,27794
0,617,6365000,19615
0,781,0,31061
0,617,6360032,28930
0,508,3340100,24775
0,508,7936611,14566
0,508,3341000,25826
0,508,3340100,18649
0,508,3341000,14528
0,508,3441000,15538
0,617,4981000,13549
0,978,2012977,29255
0,781,3227560,25798
0,413,7479000,26246
0,508,7936611,29554
0,508,8625010,27459
0,617,6678000,32744
0,413,4472303,16336
0,978,6323420,3169
0,781,7299000,25311
0,781,7299000,32292
0,781,7562126,15355
0,781,7299000,15955
0,781,7299000,30827
0,781,7299000,18365
0,781,7592215,13064
0,781,7299000,16899
0,781,7592125,14192
0,978,7299000,30159
0,781,7562125,2709
0,781,7299000,18528
0,781,7562126,13427
0,781,7299000,1470
0,781,7299000,25241
0,781,7562129,22654
0,617,5684439,12773
0,978,2441051,19864
0,781,4272602,30096
0,617,7249300,24786
.,413,8852856,1680
.,781,8250838,2138
.,978,9899902,28516
.,617,7080188,32783
.,413,5965363,27342
.,508,4859300,22938
.,781,2794000,18744
.,508,9901900,31287
.,508,7554010,24797
.,781,6484572,31863
.,978,9222171,2606
.,617,5104086,32545
.,978,9750700,1794
.,781,8946900,13940
.,781,9847226,27481
.,617,3533047,29499
.,617,6421888,18426
.,781,4363352,13217
.,978,9971352,22176
.,617,3023343,24617
.,978,8348200,13734
.,781,4449605,16279
.,617,3901485,12599
.,781,7716550,21711
.,781,3221503,2629
.,781,3163255,29912
.,978,7418020,2494
.,508,8795110,14428
.,978,9757530,30040
.,781,5226900,22656
.,617,6385127,13328
.,617,4718400,16927
.,413,7721900,15747
.,413,7309200,1547
.,508,8889288,22287
.,617,5344222,2278
.,617,5957044,24119
.,617,2933446,18894
.,508,8726750,15278
.,978,7452440,21043
.,978,9216060,22354
.,978,6551823,21217
.,617,4825292,26093
.,617,5535300,21181
.,617,4147779,16497
.,617,5662200,14787
.,781,4346400,28937
.,617,3536630,25560
.,617,3532720,29624
.,508,7550333,26846
.,617,4239575,21370
.,978,4590389,14986
.,413,4990412,14673
.,508,2612000,24259
.,508,4883800,27469
.,617,7871901,22714
.,413,7887366,25554
.,508,5596699,27784
.,617,2778107,2611
.,508,7711294,21490
.,508,7751859,30662
.,413,3746325,32517
.,508,7863030,14130
.,978,3424244,27911
.,617,3021494,15345
.,617,3024194,2922
.,413,7391100,22646
.,781,2758700,24034
.,617,4451123,2328
.,978,5870815,2572
.,508,9260070,13374
.,617,5236400,23281
.,781,3290600,22638
.,781,3290600,1786
.,413,7819000,21063
.,781,9328650,28911
.,617,7236300,1422
.,781,2735100,24261
.,617,7830500,21450
.,413,7371426,22287
.,617,3256700,31345
.,508,9968572,23296
.,413,7327419,22671
.,617,4456655,14589
.,781,8944307,27118
.,413,5841310,18540
.,781,9336700,25239
.,413,5288580,15951
.,978,3232850,1501
.,781,6822096,19457
.,508,4380144,18030
.,413,7741000,28195
.,617,5396780,16585
.,508,5868700,16415
.,617,5068188,15671
.,978,4586282,26588
.,508,2523383,14382
.,508,5407075,23977
.,978,6655901,15759
.,413,7723748,19162
.,508,7564354,2538
.,781,2448480,18426
.,413,7894212,17556
.,617,3836585,14190
.,781,2701144,27160
.,508,7565400,22595
.,413,7391611,2123
.,413,2858722,2226
.,617,3539610,13040
.,413,7390882,25965
.,617,2823200,29163
.,781,4381264,29671
.,413,7741600,30814
.,508,6240202,2949
.,617,4428800,24460
.,781,2704700,19343
.,413,7824878,23191
.,781,8946900,17714
.,781,9253505,27247
.,508,7785255,16989
.,508,5854311,30152
.,617,5693189,29784
.,617,4741777,14294
.,781,8623600,27259
.,508,8521805,18639
.,978,3691113,13047
.,508,7535425,14482
.,617,9598969,20049
.,508,2282689,30697
.,508,5836498,20543
.,978,6871617,26732
.,508,5862660,29448
.,617,8224027,22736
.,508,7563528,23653
.,978,6839505,27120
.,508,6787542,12994
.,978,2329600,30248
.,888,3474565,26467
.,508,2344181,22240
.,617,2670900,32341
.,617,2625200,29471
.,617,8928245,16910
.,508,6723111,19383
.,508,2227555,13736
.,781,3265652,28293
.,508,8793230,18661
.,413,7360395,14346
.,617,2881140,28470
.,978,3494150,24046
.,508,9993126,3021
.,978,2810700,13285
.,508,4272900,23292
.,978,8674095,27027
.,508,5406550,26827
.,978,5522731,18117
.,508,6851770,32576
.,781,4804311,32213
.,508,9926553,16394
.,978,7390290,32693
.,508,7780300,13956
.,781,7624001,17867
.,617,7321455,15293
.,617,8253400,18379
.,617,4952010,19950
.,781,8951200,21065
.,413,7319575,15940
.,508,6798111,19025
.,978,9224490,27678
.,508,2247701,18549
.,413,4456680,27574
.,617,4216018,25977
.,413,4202200,2196
.,413,5329446,28336
.,781,2354950,25126
.,508,7750275,19120
.,508,6780041,13946
.,508,5104483,21974
.,508,6624300,28244
.,617,6613991,25375
.,508,6937900,30317
.,508,6275797,21526
.,617,9835800,30852
.,781,6475327,32557
.,617,7322501,25457
.,978,4578140,22935
.,413,7816485,23683
.,978,3450685,12924
.,781,3066828,22770
.,781,8857252,32261
.,508,2861736,2017
.,978,3902377,27898
.,978,6829222,15455
.,781,5347160,19638
.,413,3153194,23998
.,978,7467850,27325
.,978,4598656,25135
.,508,3340102,24388
.,781,5962502,15046
.,617,3763000,25029
.,781,6318273,22695
.,781,8951199,17563
.,617,2960061,24526
.,724,5976168,23168
.,781,2456334,26220
.,978,2440411,20257
.,508,6992222,28625
.,617,2440123,13750
.,508,5419201,31459
